onset	duration	subject	run	stimuli
78.998	16.178	3146	2	InfOwnNeg
170.734	16.194	3146	2	InfOwnNeg
247.598	15.309	3146	2	InfOwnNeg
293.583	15.31	3146	2	InfOwnNeg
388.153	15.309	3146	2	InfOwnNeg
418.682	15.977	3146	2	InfOwnNeg
30.162	15.31	3146	2	InfOwnPos
60.608	18.36	3146	2	InfOwnPos
217.153	15.293	3146	2	InfOwnPos
263.037	15.293	3146	2	InfOwnPos
339.184	18.295	3146	2	InfOwnPos
372.73	15.293	3146	2	InfOwnPos
0.034	15.041	3146	2	InfOtherNeg
95.238	15.041	3146	2	InfOtherNeg
125.45	15.041	3146	2	InfOtherNeg
155.562	15.041	3146	2	InfOtherNeg
278.393	15.041	3146	2	InfOtherNeg
357.558	15.042	3146	2	InfOtherNeg
15.09	15.057	3146	2	InfOtherPos
110.361	15.041	3146	2	InfOtherPos
186.974	15.041	3146	2	InfOtherPos
323.994	15.042	3146	2	InfOtherPos
403.526	15.041	3146	2	InfOtherPos
449.727	14.273	3146	2	InfOtherPos
45.472	15.136	3146	2	fixation
140.491	15.071	3146	2	fixation
202.015	15.138	3146	2	fixation
232.446	15.152	3146	2	fixation
308.893	15.101	3146	2	fixation
434.659	15.068	3146	2	fixation
